"FIPS","GENC","Country/Area Name","Year","GROUP","Population","% of Population","Male Population","% of Males","Female Population","% of Females","Sex Ratio"
"JA","JP","Japan","2023","TOTAL","123719238","100","60122691","100","63596547","100","0.9453766570062365"
"JA","JP","Japan","2023","0 - 4","4446020","3.593636747099913","2288057","3.8056463573794463","2157963","3.3932078104806536","1.0602855563325229"
"JA","JP","Japan","2023","5 - 9","5172684","4.1809859837643035","2668325","4.4381330170334525","2504359","3.937885181093244","1.0654722425978065"
"JA","JP","Japan","2023","10 - 14","5587219","4.516047051631534","2879092","4.7886945047087135","2708127","4.258292513900165","1.0631303480228216"
"JA","JP","Japan","2023","15 - 19","5615009","4.538509200970022","2903587","4.829436194065232","2711422","4.263473612804796","1.0708724056970844"
"JA","JP","Japan","2023","20 - 24","5877847","4.750956354904158","3068497","5.103725313958419","2809350","4.4174568156978715","1.09224446936124"
"JA","JP","Japan","2023","25 - 29","6189512","5.002869480977566","3277980","5.452151168682719","2911532","4.578129061000749","1.1258608869832103"
"JA","JP","Japan","2023","30 - 34","6238928","5.042811531057119","3165688","5.26537975487491","3073240","4.832400727668438","1.0300816076843982"
"JA","JP","Japan","2023","35 - 39","7108172","5.745405577101922","3512976","5.843011917081356","3595196","5.653130821709549","0.9771305931582034"
"JA","JP","Japan","2023","40 - 44","7775042","6.284424415869745","3822522","6.357869111347661","3952520","6.214991515183993","0.9671100968496048"
"JA","JP","Japan","2023","45 - 49","8884081","7.180840379893061","4350300","7.235704070531374","4533781","7.128973527446387","0.9595302463881692"
"JA","JP","Japan","2023","50 - 54","9264992","7.488723782796011","4585967","7.627680870106097","4679025","7.3573569961274785","0.9801116685634294"
"JA","JP","Japan","2023","55 - 59","8012330","6.476219971545573","3992884","6.641226354954738","4019446","6.320226788413528","0.9933916266072489"
"JA","JP","Japan","2023","60 - 64","7393449","5.975989764825418","3697785","6.150398357917812","3695664","5.811107952134571","1.0005739158105282"
"JA","JP","Japan","2023","65 - 69","7345447","5.937190625115231","3626159","6.031265300483639","3719288","5.848254623006498","0.9749605300799508"
"JA","JP","Japan","2023","70 - 74","8903840","7.196811218640063","4250737","7.0701043637584355","4653103","7.316596921527831","0.9135273816203939"
"JA","JP","Japan","2023","75 - 79","7394089","5.976507065134042","3390813","5.639822409146657","4003276","6.29480087967669","0.8470095491792222"
"JA","JP","Japan","2023","80 - 84","5843848","4.723475584290295","2483180","4.130187718976185","3360668","5.284356083043313","0.7388947673498245"
"JA","JP","Japan","2023","85 - 89","3903407","3.1550525715329734","1422966","2.366770309732144","2480441","3.900276220971557","0.5736746006052956"
"JA","JP","Japan","2023","90 - 94","2006987","1.6222109289098599","584723","0.9725496152525841","1422264","2.2363855698014548","0.41112128268732107"
"JA","JP","Japan","2023","95 - 99","642786","0.5195521815289551","136384","0.22684280715246094","506402","0.7962727913513921","0.26931963143905435"
"JA","JP","Japan","2023","100+","113549","0.09177958241223567","14069","0.023400482855965313","99480","0.15642358695983918","0.14142541214314436"
