t_state,t_county,total_t_cap,count_of_windmills
AK,Aleutians East Borough,1000,2
AK,Aleutians West Census Area,675,3
AK,Bethel Census Area,0,26
AK,Denali Borough,24600,12
AK,Kenai Peninsula Borough,3100,2
AK,Kodiak Island Borough,9000,6
AK,Lake and Peninsula Borough,27334.95181,3
AK,Matanuska-Susitna Borough,16000,10
AK,Nome Census Area,0,34
AK,Northwest Arctic Borough,153261.8573,26
AK,Southeast Fairbanks Census Area,1900,3
AK,Wade Hampton Census Area,176783.1344,14
AR,Washington County,100,1
AZ,Cochise County,30000,15
AZ,Coconino County,97600,61
AZ,Mohave County,0,132
AZ,Navajo County,128100,61
CA,Alameda County,0,328
CA,Contra Costa County,195899.5878,71
CA,Imperial County,264180,112
CA,Kern County,0,3499
CA,Los Angeles County,3475,5
CA,Marin County,225,1
CA,Merced County,17010,162
CA,Monterey County,10650,6
CA,Riverside County,87909.7947,1208
CA,San Bernardino County,9450,7
CA,San Diego County,182950,83
CA,San Joaquin County,3500,3
CA,Shasta County,101200,44
CA,Solano County,385851.5472,533
CA,Tehama County,1500,1
CA,Tulare County,59027.14042,1
CA,Yolo County,1500,1
CO,Adams County,50,1
CO,Baca County,1500,1
CO,Bent County,75000,50
CO,Cheyenne County,370800,168
CO,El Paso County,246500,145
CO,Elbert County,185089.0681,244
CO,Huerfano County,111790,58
CO,Jefferson County,7100,6
CO,Kit Carson County,296499.6244,381
CO,Las Animas County,45270,23
CO,Lincoln County,893800,521
CO,Logan County,0,586
CO,Prowers County,252900,148
CO,Pueblo County,1800,1
CO,Weld County,439415.4971,527
CO,Yuma County,365174.349,3
CT,Litchfield County,5700,2
CT,New Haven County,100,1
DE,Sussex County,2000,1
FL,Flagler County,446320.3197,1
GU,Guam,275,1
HI,Hawaii County,58961.05149,36
HI,Honolulu County,126600,50
HI,Maui County,0,46
IA,Adair County,272652.1028,530
IA,Adams County,292584,108
IA,Appanoose County,297129.1019,3
IA,Audubon County,735250.4845,101
IA,Boone County,91000,45
IA,Bremer County,2700,3
IA,Buchanan County,100,1
IA,Buena Vista County,548115.3044,260
IA,Calhoun County,18400,8
IA,Carroll County,215320,132
IA,Cass County,389280,170
IA,Cedar County,6000,2
IA,Cerro Gordo County,56240,26
IA,Cherokee County,50142.78615,110
IA,Clay County,0,75
IA,Crawford County,168700,93
IA,Dallas County,6000,3
IA,Delaware County,297689.1589,41
IA,Dickinson County,610522.0422,146
IA,Emmet County,3150,2
IA,Fayette County,43500,18
IA,Floyd County,75450,51
IA,Franklin County,0,265
IA,Greene County,324700,158
IA,Grundy County,231585,95
IA,Guthrie County,144900,63
IA,Hamilton County,129700,98
IA,Hancock County,250048,248
IA,Hardin County,119250,79
IA,Henry County,1500,1
IA,Howard County,240900,145
IA,Ida County,503420,215
IA,Iowa County,252500,77
IA,Kossuth County,0,127
IA,Linn County,2500,1
IA,Madison County,119646,51
IA,Mahaska County,168000,84
IA,Marshall County,222050,96
IA,Mitchell County,427500,195
IA,O'Brien County,554544.5335,318
IA,Osceola County,154460,65
IA,Palo Alto County,574946.0395,181
IA,Plymouth County,200475.2541,74
IA,Pocahontas County,357600,216
IA,Polk County,0,3
IA,Pottawattamie County,32432.2929,103
IA,Poweshiek County,422258.876,241
IA,Sac County,647109.223,163
IA,Story County,218300,138
IA,Tama County,48500,21
IA,Taylor County,116750,44
IA,Union County,141900,34
IA,Webster County,251022,107
IA,Winnebago County,341260,159
IA,Winneshiek County,1600,1
IA,Worth County,505000,305
IA,Wright County,73500,49
ID,Bingham County,22500,15
ID,Bonneville County,343800,200
ID,Cassia County,51000,34
ID,Elmore County,248000,120
ID,Power County,124200,62
ID,Twin Falls County,183000,110
IL,Adams County,900,1
IL,Brown County,1500,1
IL,Bureau County,152502.8157,264
IL,Champaign County,12171.5329,32
IL,Coles County,225718.5977,4
IL,Cook County,1458,3
IL,DeKalb County,189000,126
IL,Douglas County,199800,48
IL,Ford County,255200,143
IL,Grundy County,189150.1947,133
IL,Henry County,427480,238
IL,Iroquois County,249000,153
IL,Kankakee County,155750,88
IL,LaSalle County,512200,271
IL,Lee County,0,279
IL,Livingston County,350000,175
IL,Logan County,291054.1347,184
