t_state,total_t_cap,count_of_windmills
AK,443788.5267,141
AR,100,1
AZ,518495.094,269
CA,0,6065
CO,865047.1491,2863
CT,5800,3
DE,2000,1
FL,0,1
GU,275,1
HI,0,132
IA,646001.7266,6148
ID,972500,541
IL,0,3462
IN,134487.0682,1615
KS,0,3919
MA,125180,92
MD,191050,80
ME,0,412
MI,39869.83725,1629
MN,512683.2628,2687
MO,368909.8108,1174
MT,0,803
NC,224943.7207,105
ND,188941.783,2194
NE,221572.014,1521
NH,214150,84
NJ,9000,6
NM,38166.36957,1894
NV,388465.4324,68
NY,0,1197
OH,395657.0832,503
OK,84452.79123,4905
OR,86106.25843,2087
PA,1459000,751
PR,538160.4345,63
RI,74885,32
SD,46182.33345,1413
TN,28980,18
TX,0,17439
UT,0,208
VA,12000,2
VT,150050,73
WA,522198.6526,1825
WI,0,451
WV,50808.01925,410
WY,310550.5258,1520
KY,0,0
