FIPS,County,Year,Population
19103,Johnson County,April 01 2020,"152,854"
19167,Sioux County,April 01 2020,"35,872"
19077,Guthrie County,April 01 2020,"10,623"
19013,Black Hawk County,April 01 2020,"131,144"
19141,O'Brien County,April 01 2020,"14,182"
19085,Harrison County,April 01 2020,"14,582"
19095,Iowa County,April 01 2020,"16,662"
19159,Ringgold County,April 01 2020,"4,663"
19069,Franklin County,April 01 2020,"10,019"
19149,Plymouth County,April 01 2020,"25,698"
19005,Allamakee County,April 01 2020,"14,061"
19031,Cedar County,April 01 2020,"18,505"
19119,Lyon County,April 01 2020,"11,934"
19153,Polk County,April 01 2020,"492,401"
19183,Washington County,April 01 2020,"22,565"
19147,Palo Alto County,April 01 2020,"8,996"
19089,Howard County,April 01 2020,"9,469"
19039,Clarke County,April 01 2020,"9,748"
19053,Decatur County,April 01 2020,"7,645"
19197,Wright County,April 01 2020,"12,943"
19133,Monona County,April 01 2020,"8,751"
19019,Buchanan County,April 01 2020,"20,565"
19025,Calhoun County,April 01 2020,"9,927"
19083,Hardin County,April 01 2020,"16,878"
19169,Story County,April 01 2020,"98,537"
19135,Monroe County,April 01 2020,"7,577"
19105,Jones County,April 01 2020,"20,646"
19033,Cerro Gordo County,April 01 2020,"43,127"
19191,Winneshiek County,April 01 2020,"20,070"
19117,Lucas County,April 01 2020,"8,634"
19161,Sac County,April 01 2020,"9,814"
19127,Marshall County,April 01 2020,"40,105"
19041,Clay County,April 01 2020,"16,384"
19007,Appanoose County,April 01 2020,"12,317"
19063,Emmet County,April 01 2020,"9,388"
19181,Warren County,April 01 2020,"52,403"
19097,Jackson County,April 01 2020,"19,485"
19061,Dubuque County,April 01 2020,"99,266"
19081,Hancock County,April 01 2020,"10,795"
19125,Marion County,April 01 2020,"33,414"
19017,Bremer County,April 01 2020,"24,988"
19179,Wapello County,April 01 2020,"35,437"
19189,Winnebago County,April 01 2020,"10,679"
19071,Fremont County,April 01 2020,"6,605"
19051,Davis County,April 01 2020,"9,110"
19145,Page County,April 01 2020,"15,211"
19001,Adair County,April 01 2020,"7,496"
19023,Butler County,April 01 2020,"14,334"
19043,Clayton County,April 01 2020,"17,043"
19107,Keokuk County,April 01 2020,"10,033"
19163,Scott County,April 01 2020,"174,669"
19065,Fayette County,April 01 2020,"19,509"
19035,Cherokee County,April 01 2020,"11,658"
19137,Montgomery County,April 01 2020,"10,330"
19193,Woodbury County,April 01 2020,"105,941"
19115,Louisa County,April 01 2020,"10,837"
19171,Tama County,April 01 2020,"17,135"
19129,Mills County,April 01 2020,"14,484"
19073,Greene County,April 01 2020,"8,771"
19009,Audubon County,April 01 2020,"5,674"
19093,Ida County,April 01 2020,"7,005"
19059,Dickinson County,April 01 2020,"17,703"
19029,Cass County,April 01 2020,"13,127"
19079,Hamilton County,April 01 2020,"15,039"
19123,Mahaska County,April 01 2020,"22,190"
19049,Dallas County,April 01 2020,"99,678"
19157,Poweshiek County,April 01 2020,"18,662"
19015,Boone County,April 01 2020,"26,715"
19177,Van Buren County,April 01 2020,"7,203"
19099,Jasper County,April 01 2020,"37,813"
19187,Webster County,April 01 2020,"36,999"
19113,Linn County,April 01 2020,"230,299"
19143,Osceola County,April 01 2020,"6,192"
19045,Clinton County,April 01 2020,"46,460"
19011,Benton County,April 01 2020,"25,575"
19109,Kossuth County,April 01 2020,"14,828"
19075,Grundy County,April 01 2020,"12,329"
19195,Worth County,April 01 2020,"7,443"
19055,Delaware County,April 01 2020,"17,488"
19173,Taylor County,April 01 2020,"5,896"
19139,Muscatine County,April 01 2020,"43,235"
19037,Chickasaw County,April 01 2020,"12,012"
19003,Adams County,April 01 2020,"3,704"
19067,Floyd County,April 01 2020,"15,627"
19027,Carroll County,April 01 2020,"20,760"
19185,Wayne County,April 01 2020,"6,497"
19091,Humboldt County,April 01 2020,"9,597"
19121,Madison County,April 01 2020,"16,548"
19151,Pocahontas County,April 01 2020,"7,078"
19111,Lee County,April 01 2020,"33,555"
19175,Union County,April 01 2020,"12,138"
19101,Jefferson County,April 01 2020,"15,663"
19087,Henry County,April 01 2020,"20,482"
19057,Des Moines County,April 01 2020,"38,910"
19165,Shelby County,April 01 2020,"11,746"
19047,Crawford County,April 01 2020,"16,525"
19155,Pottawattamie County,April 01 2020,"93,667"
19021,Buena Vista County,April 01 2020,"20,823"
19131,Mitchell County,April 01 2020,"10,565"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
